topic_id,topic_name,subfield_id,subfield_name,field_id,field_name,domain_id,domain_name,keywords,summary,wikipedia_url
10011,Cultural Studies and Critical Theory,1208,Literature and Literary Theory,12,Arts and Humanities,2,Social Sciences,Postcolonialism; Race; Gender; Literature; History; Identity; Power; Colonialism; Society; Public Sphere,"This cluster of papers explores the intersection of postcolonialism, race, gender, literature, and history within the context of power dynamics, identity formation, and the public sphere. It delves into critical theories related to colonialism, society, and the impact of historical events on contemporary cultural studies.",https://en.wikipedia.org/wiki/Cultural_studies
10012,Population Genetic Structure and Dynamics,1311,Genetics,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,Population Genetics; Genetic Structure; Population Dynamics; Microsatellite Analysis; Bayesian Inference; Genetic Diversity; Species Delimitation; Adaptive Evolution; Phylogeography; Molecular Markers,"This cluster of papers covers a wide range of topics in population genetics, including inference of population structure and dynamics, genetic diversity, species delimitation, adaptive evolution, and phylogeography. It discusses methods such as microsatellite analysis, Bayesian inference, and the use of molecular markers to understand the genetic makeup and evolutionary history of populations.",https://en.wikipedia.org/wiki/Population_genetics
10013,Asymmetric Catalysis,1605,Organic Chemistry,16,Chemistry,3,Physical Sciences,Organocatalysis; Enantioselective Reactions; Chiral Catalysts; Asymmetric Synthesis; C-C Bond Formation; Spirooxindoles; Hydrogen Bonding; Transition Metal Catalysis; Quaternary Stereocenters; Cascade Reactions,"This cluster of papers covers recent advances in asymmetric catalysis, including organocatalysis, enantioselective reactions, chiral catalysts, asymmetric synthesis, C-C bond formation, spirooxindoles, hydrogen bonding, transition metal catalysis, quaternary stereocenters, and cascade reactions.",https://en.wikipedia.org/wiki/Asymmetric_catalysis
10014,Molecular Responses to Abiotic Stress in Plants,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences,Reactive Oxygen Species; Antioxidants; Abiotic Stress; Signal Transduction; Oxidative Stress; Salt Tolerance; Drought Resistance; Plant Responses; Gene Expression; Stress Signaling,"This cluster of papers focuses on the molecular responses of plants to abiotic stress, particularly related to reactive oxygen species, antioxidants, salt tolerance, and drought resistance. It explores the mechanisms of signal transduction, gene expression, and stress signaling pathways in plants under various environmental stresses.",https://en.wikipedia.org/wiki/Abiotic_stress
10015,RNA Sequencing Data Analysis,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,RNA-seq; sequence alignment; phylogenetic analysis; genome annotation; transcript quantification; metagenomics assembly; sequence variation; phylogenetic tree; functional genomics; quality assessment,"This cluster of papers focuses on the statistical analysis, alignment, and annotation of RNA sequencing data, including methods for transcript quantification, phylogenetic analysis, genome assembly, and quality assessment in functional genomics. It also covers tools for sequence variation analysis and metagenomics assembly.",https://en.wikipedia.org/wiki/RNA-Seq
10016,Adsorption of Water Contaminants,2312,Water Science and Technology,23,Environmental Science,3,Physical Sciences,Adsorption; Contaminant Removal; Wastewater Treatment; Surface Area; Pore Size Distribution; Biochar; Heavy Metals; Dye Removal; Nanomaterials; Biosorption,"This cluster of papers focuses on the adsorption of contaminants in water and wastewater, with a specific emphasis on surface area evaluation, pore size distribution, biochar as a sorbent, removal of heavy metals and dyes, use of nanomaterials, and biosorption techniques. The papers cover various aspects of adsorption kinetics, isotherm models, low-cost adsorbents, and the application of different materials for efficient water treatment.",https://en.wikipedia.org/wiki/Adsorption
10017,Climate Change and Paleoclimatology,1902,Atmospheric Science,19,Earth and Planetary Sciences,3,Physical Sciences,Climate Change; Paleoclimatology; Glacial Cycles; Holocene; Sea Level; Monsoon Dynamics; Greenhouse Warming; Ice Core Records; Solar Influence; Atmospheric CO2,"This cluster of papers encompasses research on climate change and paleoclimatology, including topics such as glacial cycles, Holocene climate variability, sea level fluctuations, monsoon dynamics, greenhouse warming, ice core records, solar influence on climate, and atmospheric CO2 concentrations over various timescales.",https://en.wikipedia.org/wiki/Paleoclimatology
10018,Lithium-ion Battery Technology,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,Lithium-ion Batteries; Battery Materials; Energy Storage; Nanostructured Anodes; Cathode Materials; Electrochemical Performance; Rechargeable Batteries; Anode Materials; Battery Technology; Electrode Materials,"This cluster of papers focuses on advancements in lithium-ion battery technology, including research on battery materials, nanostructured anodes, cathode materials, and electrode materials. It also covers topics related to energy storage, electrochemical performance, and rechargeable batteries.",https://en.wikipedia.org/wiki/Lithium-ion_battery
10019,Corporate Governance and Financial Performance,1402,Accounting,14,"Business, Management and Accounting",2,Social Sciences,Corporate Governance; Investor Protection; Ownership Structure; Financial Constraints; Firm Performance; Dividend Policy; Capital Structure; Board Composition; Institutional Investors; Mergers and Acquisitions,"This cluster of papers explores the relationship between corporate governance, investor protection, ownership structure, financial constraints, and their impact on firm performance, dividend policy, capital structure, board composition, and the role of institutional investors in mergers and acquisitions. It also investigates the influence of managerial traits, CEO characteristics, and the preferences of institutional investors on corporate financial policies.",https://en.wikipedia.org/wiki/Corporate_governance
10020,Quantum Information and Computation,1702,Artificial Intelligence,17,Computer Science,3,Physical Sciences,Quantum; Entanglement; Cryptography; Computation; Metrology; Superconducting Circuits; Photon; Measurement; Security; Communication,"This cluster of papers covers a wide range of topics in the field of quantum information, including quantum entanglement, cryptography, computation, metrology, superconducting circuits, photon manipulation, measurement, security, and communication. It reflects the ongoing advancements and diverse applications of quantum technologies in various domains.",https://en.wikipedia.org/wiki/Quantum_information_science
10021,Language Teaching and Second Language Acquisition,1203,Language and Linguistics,12,Arts and Humanities,2,Social Sciences,Second Language Acquisition; Language Teaching; Corrective Feedback; L2 Motivation; Task-based Instruction; Language Anxiety; Teacher Cognition; Lingua Franca English; Language Learning Strategies; Interlanguage Development,"This cluster of papers covers a wide range of topics related to language teaching and second language acquisition, including second language acquisition, language teaching methodologies, corrective feedback, L2 motivation, task-based instruction, language anxiety, teacher cognition, lingua franca English, language learning strategies, and interlanguage development.",https://en.wikipedia.org/wiki/Language_teaching
10022,Quantum Dot Devices and Semiconductors,3107,"Atomic and Molecular Physics, and Optics",31,Physics and Astronomy,3,Physical Sciences,Quantum Dots; Semiconductor; Single-Photon Source; Excitons; Microcavity; Band Parameters; Entangled Photons; Optical Emission; Nanowires; Photovoltaics,"This cluster of papers focuses on the physics and applications of quantum dot devices, semiconductor materials, and single-photon sources. It covers topics such as band parameters for III–V compound semiconductors, strong coupling in quantum dot–semiconductor microcavity systems, and the generation of entangled photons from single quantum dots. The research also delves into the electronic structure of quantum dots, electrically driven single-photon sources, and the development of near-optimal single-photon sources in the solid state.",https://en.wikipedia.org/wiki/Quantum_dot
10023,Schizophrenia Research and Treatment,2738,Psychiatry and Mental health,27,Medicine,4,Health Sciences,Antipsychotic Drugs; Neurocognitive Deficits; Genetic Association Studies; Metabolic Syndrome; Neurodevelopmental Model; Cognitive Therapy; Social Cognition; Prodromal Symptoms; Dopamine Dysfunction; Neuroanatomical Abnormalities,"This cluster of papers focuses on the research, treatment, and various aspects of schizophrenia, including the effectiveness of antipsychotic drugs, neurocognitive deficits, genetic association studies, metabolic syndrome, neurodevelopmental models, cognitive therapy, social cognition, prodromal symptoms, dopamine dysfunction, and neuroanatomical abnormalities in individuals with schizophrenia.",https://en.wikipedia.org/wiki/Schizophrenia
10024,Photocatalysis and Solar Energy Conversion,2105,"Renewable Energy, Sustainability and the Environment",21,Energy,3,Physical Sciences,Photocatalysis; Solar Cells; Titanium Dioxide; Nanomaterials; Visible Light; Dye-Sensitized; Water Splitting; Nanostructures; Efficiency; Semiconductor Nanocrystals,"This cluster of papers focuses on the advances in photocatalysis and solar energy conversion, with a specific emphasis on titanium dioxide nanomaterials, visible light photocatalysis, dye-sensitized solar cells, and water splitting. The research covers topics such as enhancing solar absorption, surface science studies, molecular engineering of sensitizers, and the development of efficient panchromatic sensitizers for solar cells.",https://en.wikipedia.org/wiki/Photocatalysis
10025,Holographic Derivation of Field Theories and Gravity,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences,Holographic; Field Theories; Gravity; String Theory; Quantum Entanglement; Black Holes; AdS/CFT Correspondence; Supergravity; Conformal Symmetry; Quantum Gravity,"This cluster of papers focuses on the holographic derivation of field theories and gravity, particularly in the context of string theory, quantum entanglement, black holes, AdS/CFT correspondence, supergravity, and conformal symmetry. It explores various aspects such as viscosity, entropy, enthalpy, and the thermodynamics of black holes in the holographic context.",https://en.wikipedia.org/wiki/Holographic_principle
10026,Galaxy Formation and Evolution in the Universe,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences,Galaxies; Cosmology; Black Holes; Stellar Populations; Star Formation; Dark Matter; Cosmic Evolution; Quasars; Sloan Digital Sky Survey; Astrophysical Simulations,"This cluster of papers explores the formation and evolution of galaxies, including topics such as stellar populations, black holes, dark matter, cosmic evolution, quasars, and the extensive use of data from the Sloan Digital Sky Survey. It also includes discussions on astrophysical simulations to understand various aspects of galaxy formation.",https://en.wikipedia.org/wiki/Galaxy_formation_and_evolution
10027,Metabolic Syndrome and Cardiovascular Disease,2712,"Endocrinology, Diabetes and Metabolism",27,Medicine,4,Health Sciences,Metabolic Syndrome; Cardiovascular Disease; Diabetes; Insulin Resistance; Obesity; Glucose Metabolism; Atherosclerosis; Lifestyle Intervention; Cholesterol; Global Prevalence,"This cluster of papers focuses on the metabolic syndrome, its association with cardiovascular disease, diabetes, insulin resistance, obesity, and atherosclerosis. It includes studies on glucose metabolism, lifestyle interventions, and global prevalence of related conditions.",https://en.wikipedia.org/wiki/Metabolic_syndrome
10028,Natural Language Processing,1702,Artificial Intelligence,17,Computer Science,3,Physical Sciences,Neural Networks; Word Representation; Machine Translation; Text Classification; Semantic Similarity; Named Entity Recognition; Pretrained Models; Sequence-to-Sequence Learning; Topic Modeling; Information Retrieval,"This cluster of papers covers a wide range of advancements in natural language processing, including neural network architectures, word representation models, machine translation techniques, text classification algorithms, semantic similarity measures, named entity recognition methods, pretrained language models, sequence-to-sequence learning approaches, topic modeling strategies, and information retrieval systems.",https://en.wikipedia.org/wiki/Natural_language_processing
10029,Climate Change and Variability Research,2306,Global and Planetary Change,23,Environmental Science,3,Physical Sciences,Climate Change; Global Warming; Extreme Events; Climate Modeling; Precipitation Extremes; Ocean Circulation; ENSO Variability; Arctic Amplification; Hydrological Cycle; Greenhouse Gas Emissions,"This cluster of papers encompasses a wide range of research on climate change, global warming, and variability, including studies on extreme events, climate modeling, precipitation extremes, ocean circulation, ENSO variability, Arctic amplification, and the hydrological cycle. It also addresses the impact of greenhouse gas emissions and the challenge of keeping global warming below 2°C.",https://en.wikipedia.org/wiki/Climate_change
10030,Electrocatalysis for Energy Conversion,2105,"Renewable Energy, Sustainability and the Environment",21,Energy,3,Physical Sciences,Electrocatalysis; Energy Conversion; Oxygen Reduction; Hydrogen Evolution; Catalysts; Water Splitting; Nanomaterials; Fuel Cells; Metal-Organic Frameworks; Sustainable Energy,"This cluster of papers focuses on advances in electrocatalysis for energy conversion, with a particular emphasis on oxygen reduction and hydrogen evolution reactions. The research covers various catalysts, nanomaterials, and methodologies for improving the efficiency and sustainability of energy conversion processes, such as water splitting and fuel cells.",https://en.wikipedia.org/wiki/Electrocatalysis
10031,Regulatory T Cell Development and Function,2403,Immunology,24,Immunology and Microbiology,1,Life Sciences,Foxp3; TGF-ß; CD4+CD25+; Immune Tolerance; Autoimmunity; Thymic Selection; Memory T Cells; IL-2; Tumor Immunity; Immunological Surveillance,"This cluster of papers focuses on the development, function, and regulation of regulatory T cells (Tregs), particularly emphasizing the role of transcription factor Foxp3, TGF-ß induction, immune tolerance, thymic selection, memory T cells, IL-2 signaling, and their involvement in tumor immunity and immunological surveillance. The cluster also explores the implications of Tregs in autoimmunity and their potential for therapeutic interventions.",https://en.wikipedia.org/wiki/Regulatory_T_cell
10032,Marine Biogeochemistry and Ecosystem Dynamics,1910,Oceanography,19,Earth and Planetary Sciences,3,Physical Sciences,Dissolved Organic Matter; Eutrophication; Harmful Algal Blooms; Oceanic Carbon Cycle; Phytoplankton; Global Warming; Nutrient Limitation; Biological Productivity; Oceanic Oxygen Levels; Climate Change,"This cluster of papers focuses on the complex interactions between marine biogeochemistry, ecosystem dynamics, and environmental factors such as eutrophication, harmful algal blooms, and climate change. It explores the role of dissolved organic matter, nutrient limitation, and phytoplankton in the oceanic carbon cycle and highlights the impact of global warming on biological productivity and oxygen levels in the oceans.",https://en.wikipedia.org/wiki/Marine_biogeochemistry
10033,Geopolymer and Alternative Cementitious Materials,2205,Civil and Structural Engineering,22,Engineering,3,Physical Sciences,Geopolymer; Cementitious Materials; Fly Ash; Alkali-Activated Materials; Sustainable Concrete; Carbon Emissions; Nanotechnology; Hydration Mechanisms; Environmental Impact; CO2 Sequestration,"This cluster of papers focuses on advances in geopolymer technology, alternative cementitious materials, and their applications in sustainable concrete production. It covers topics such as the utilization of fly ash, alkali-activated materials, carbon emissions, nanotechnology in concrete, hydration mechanisms, and the environmental impact of cement production.",https://en.wikipedia.org/wiki/Geopolymer
10034,Theoretical Foundations of Linguistic Studies,1203,Language and Linguistics,12,Arts and Humanities,2,Social Sciences,Syntax; Semantics; Pragmatics; Grammar; Language Evolution; Universal Grammar; Construction Grammar; Scalar Implicature; Morphology; Language Typology,"This cluster of papers encompasses a wide range of topics in theoretical linguistics, including syntax, semantics, pragmatics, language evolution, universal grammar, construction grammar, scalar implicature, morphology, and language typology. The papers explore fundamental principles and structures underlying human language and aim to advance our understanding of linguistic universals and diversity.",https://en.wikipedia.org/wiki/Linguistic_theory
10035,Antioxidants and Free Radicals in Health and Disease,2704,Biochemistry,27,Medicine,4,Health Sciences,Antioxidants; Free Radicals; Polyphenols; Oxidative Stress; Flavonoids; Cancer Prevention; Dietary Supplements; Bioavailability; Phenolic Compounds; Nutritional Significance,"This cluster of papers focuses on the role of antioxidants, free radicals, and polyphenols in human health and disease. It covers topics such as oxidative stress, cancer prevention, bioavailability of dietary supplements, and the significance of phenolic compounds in nutrition. The research explores the potential benefits of antioxidants in combating oxidative stress-related conditions and their impact on human health.",https://en.wikipedia.org/wiki/Antioxidant
10036,Deep Learning in Computer Vision and Image Recognition,1707,Computer Vision and Pattern Recognition,17,Computer Science,3,Physical Sciences,Deep Learning; Convolutional Neural Networks; Image Recognition; Object Detection; Semantic Segmentation; Neural Network Architectures; Computer Vision; Image Classification; Model Compression; Autonomous Driving,"This cluster of papers focuses on the application of deep learning, particularly convolutional neural networks, in computer vision tasks such as image recognition, object detection, and semantic segmentation. It covers various neural network architectures, model compression techniques, and their applications in fields like autonomous driving.",https://en.wikipedia.org/wiki/Deep_learning
10037,High-Temperature Superconductivity,3104,Condensed Matter Physics,31,Physics and Astronomy,3,Physical Sciences,High-Temperature Superconductivity; Cuprate Superconductors; Dynamical Mean-Field Theory; Proximity Effects; Quantum Monte Carlo; Electronic Structure Calculations; Ferromagnet Structures; Valence-Bond Ground States; Electron–Phonon Coupling; Stripe Order,"This cluster of papers focuses on the physics of high-temperature superconductivity, particularly in cuprate superconductors. It covers a wide range of topics including electronic structure calculations, proximity effects in superconductor-ferromagnet structures, quantum Monte Carlo methods, and the evidence for electron–phonon coupling in high-temperature superconductors.",https://en.wikipedia.org/wiki/High-temperature_superconductivity
10038,Tuberculosis,2725,Infectious Diseases,27,Medicine,4,Health Sciences,Tuberculosis; Mycobacterium tuberculosis; Drug Resistance; Immune Response; Diagnosis; Vaccine; Host-Pathogen Interaction; Treatment; Epidemiology; Genetic Diversity,"This cluster of papers encompasses a wide range of topics related to tuberculosis, including research on Mycobacterium tuberculosis, drug resistance, immune response, diagnosis methods, vaccine development, host-pathogen interaction, treatment regimens, epidemiology, and genetic diversity. The papers cover various aspects of tuberculosis from molecular mechanisms to global epidemiological trends.",https://en.wikipedia.org/wiki/Tuberculosis
10039,Stellar Astrophysics and Exoplanet Studies,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences,Stellar Astrophysics; Exoplanets; Galactic Evolution; Stellar Evolution; Milky Way; Gaia Mission; Planetary Systems; Massive Stars; Astronomical Surveys; Astrophysical Spectroscopy,"This cluster of papers covers a wide range of topics in stellar astrophysics, including the study of exoplanets, galactic evolution, stellar and planetary system formation, and the exploration of the Milky Way. It encompasses research on massive stars, planetary systems around different types of stars, and the utilization of data from missions like Gaia and Kepler for understanding the properties and dynamics of celestial objects.",https://en.wikipedia.org/wiki/Stellar_astrophysics
10040,Robotic Control and Stabilization Techniques,2207,Control and Systems Engineering,22,Engineering,3,Physical Sciences,Adaptive Control; Sliding Mode Control; Disturbance Observer; Nonlinear Systems; Finite-Time Stability; Quadrotor; Neural Network; Feedback Control; Robotic Manipulators; Aerial Vehicles,"This cluster of papers focuses on advanced control and stabilization techniques for robotic systems, particularly emphasizing adaptive control, sliding mode control, disturbance observer-based control, and finite-time stability in the context of nonlinear systems. The applications range from quadrotors and aerial vehicles to robotic manipulators, with a strong emphasis on addressing uncertainties and disturbances in the control process.",https://en.wikipedia.org/wiki/Robot_control
10041,Coronavirus Disease 2019,2725,Infectious Diseases,27,Medicine,4,Health Sciences,Clinical Characteristics; SARS-CoV-2; Epidemiology; Thrombosis; Immune Response; ACE2 Receptor; Cytokine Storm; Antiviral Treatment; Pathophysiology; Pandemic,"This cluster of papers focuses on the clinical characteristics, epidemiology, immune response, and treatment of Coronavirus Disease 2019 (COVID-19), caused by the SARS-CoV-2 virus. It covers topics such as thrombosis, ACE2 receptor, cytokine storm, and the pandemic's impact on various populations.",https://en.wikipedia.org/wiki/Coronavirus_disease_2019
10042,Neural Mechanisms of Cognitive Control and Decision Making,2805,Cognitive Neuroscience,28,Neuroscience,1,Life Sciences,Cognitive Control; Neural Mechanisms; Decision Making; Executive Functions; Emotion Regulation; Prefrontal Cortex; Attentional Networks; Neuroimaging Studies; Adolescent Brain Development; Reward Processing,"This cluster of papers explores the neural mechanisms underlying cognitive control, decision making, executive functions, and emotion regulation. It covers topics such as prefrontal cortex function, attentional networks, reward processing, and the development of cognitive control in the adolescent brain.",https://en.wikipedia.org/wiki/Cognitive_control
10043,Epidemiology and Interventions for Substance Use Disorders,2713,Epidemiology,27,Medicine,4,Health Sciences,Substance Use Disorders; Alcohol Dependence; Motivational Interviewing; Global Burden of Disease; Adolescent Drug Use; Psychiatric Disorders; Impulsivity; College Drinking; Behavioral Interventions; Prevention Efforts,"This cluster of papers focuses on the epidemiology, risk factors, comorbidities, and interventions related to substance use disorders, particularly alcohol dependence. It covers topics such as the global burden of disease, motivational interviewing, adolescent drug use, psychiatric disorders, impulsivity, college drinking, and behavioral interventions.",https://en.wikipedia.org/wiki/Substance_use_disorder
10044,Protein Structure Prediction and Analysis,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,Protein; Structure; Prediction; Molecular Dynamics; Force Field; Homology Modeling; Intrinsically Disordered Proteins; Circular Dichroism; Enzyme Catalysis; Macromolecular Crowding,"This cluster of papers focuses on the prediction and analysis of protein structures using methods such as molecular dynamics simulations, force fields, homology modeling, and circular dichroism. It also explores topics related to intrinsically disordered proteins, enzyme catalysis, and the effects of macromolecular crowding on protein behavior.",https://en.wikipedia.org/wiki/Protein_structure_prediction
10045,Organic Solar Cell Technology,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,Conjugated Polymers; Bulk Heterojunction; Efficiency Enhancement; Non-Fullerene Acceptors; Solution Processing; Polymer Blends; Charge Transport; Morphology Control; High-Efficiency Solar Cells; Field-Effect Transistors,"This cluster of papers represents a collection of research on advances in organic solar cell technology, focusing on topics such as conjugated polymers, bulk heterojunction solar cells, efficiency enhancement, non-fullerene acceptors, solution processing, charge transport, morphology control, high-efficiency solar cells, and field-effect transistors.",https://en.wikipedia.org/wiki/Organic_solar_cell
10046,Networked Control Systems,2207,Control and Systems Engineering,22,Engineering,3,Physical Sciences,Networked Control Systems; Stability Analysis; Event-Triggered Control; Time-Delay Systems; Robust Control; Switched Systems; H8 Control; Fuzzy Control; Distributed Control; Communication Constraints,"This cluster of papers focuses on the modeling, optimization, and control of networked control systems, covering topics such as stability analysis, event-triggered control, time-delay systems, robust control, switched systems, H8 control, fuzzy control, distributed control, and communication constraints.",https://en.wikipedia.org/wiki/Networked_control_system
10047,Asset Pricing and Market Efficiency,2003,Finance,20,"Economics, Econometrics and Finance",2,Social Sciences,Asset Pricing; Stock Returns; Market Efficiency; Investor Sentiment; Liquidity Risk; Behavioral Finance; Momentum Investing; Market Microstructure; Hedge Funds; Information Content,"This cluster of papers explores asset pricing models, stock returns, market efficiency, investor sentiment, liquidity risk, behavioral finance, momentum investing, market microstructure, hedge funds, and the information content of various factors affecting asset prices.",https://en.wikipedia.org/wiki/Asset_pricing
10048,Particle Physics and High-Energy Collider Experiments,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences,Particle Physics; High-Energy Collider; Higgs Boson; Neutrino Mass; Supersymmetry; Quantum Chromodynamics; Standard Model; Muon Anomalous Magnetic Moment; Electroweak Symmetry Breaking; Dark Matter,"This cluster of papers covers a wide range of topics in particle physics, including high-energy collider experiments, Higgs boson observation, neutrino mass, supersymmetry, quantum chromodynamics, standard model, muon anomalous magnetic moment, electroweak symmetry breaking, and dark matter.",https://en.wikipedia.org/wiki/Particle_physics
10049,Magnetic Skyrmions and Spintronics,3107,"Atomic and Molecular Physics, and Optics",31,Physics and Astronomy,3,Physical Sciences,Skyrmions; Spintronics; Magnetic Tunnel Junctions; Spin Hall Effect; Room Temperature; Nanoparticles; Ferromagnetic Materials; Domain-Wall Logic; Magnonics; Antiferromagnetic Spintronics,"This cluster of papers focuses on the study and applications of magnetic skyrmions, spintronics, and related phenomena in ferromagnetic and antiferromagnetic materials. It covers topics such as room-temperature skyrmion lattice formation, spin-torque switching, magnetic domain-wall logic, magnon spintronics, and the use of nanoparticles in these systems.",https://en.wikipedia.org/wiki/Skyrmion
